,Model,AILACasedocs,AILAStatutes,LegalSummarization
34,gte-Qwen1.5-7B-instruct,34.068,31.461,61.941
35,Solon-embeddings-large-0.1,29.725,28.919,64.332
36,USER-bge-m3,34.686,26.69,62.782000000000004
37,Cohere-embed-multilingual-v3.0,28.314,29.692,64.21900000000001
38,GIST-large-Embedding-v0,29.276000000000003,30.302,62.138000000000005
39,nomic-embed-text-v1-unsupervised,36.028,23.055999999999997,63.607
40,snowflake-arctic-embed-l-v2.0,34.035,22.82,66.152
41,bge-m3-unsupervised,38.141999999999996,26.156000000000002,60.550000000000004
42,NV-Embed-v2,23.345,31.582,69.781
43,Cohere-embed-v4.0 (output_dtype=binary),40.213,36.729,55.708999999999996
44,jina-embeddings-v3,34.79,32.773,59.165
45,Cohere-embed-english-v3.0,32.351,26.381,61.924
46,b1ade-embed,27.900999999999996,27.288,63.757
47,cadet-embed-base-v1,29.981,23.612,64.048
48,gte-large,30.493,23.233,63.635
49,Cohere-embed-v4.0 (output_dtype=int8),41.219,34.424,54.226
50,Cohere-embed-v4.0,41.147,34.849999999999994,53.669999999999995
51,bilingual-embedding-large,27.916999999999998,25.162000000000003,63.580999999999996
52,snowflake-arctic-embed-m-v1.5,29.597,28.101,60.769
53,bilingual-embedding-small,27.371000000000002,25.879,62.854
54,Cohere-embed-multilingual-light-v3.0,26.916,29.119,61.370000000000005
55,Ivysaur,26.168000000000003,27.878999999999998,61.997
56,snowflake-arctic-embed-l,31.721,27.365000000000002,59.865
57,snowflake-arctic-embed-m,28.583,29.624,59.65899999999999
58,bge-base-en-v1.5,27.363,23.346,63.413
59,gte-base-en-v1.5,33.275,29.134999999999998,58.616
60,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,24.288999999999998,30.214000000000002,61.536
61,granite-embedding-125m-english,28.349999999999998,30.845,58.936
62,gte-base,28.33,22.275,63.121
63,GIST-all-MiniLM-L6-v2,24.542,30.044999999999998,60.94199999999999
64,GIST-Embedding-v0,25.332,27.535999999999998,61.111000000000004
65,Cohere-embed-english-light-v3.0,25.445,25.724000000000004,61.367000000000004
66,bge-m3-custom-fr,37.699,22.264,58.548
67,stella_en_1.5B_v5,36.19,28.124,53.772
68,GIST-small-Embedding-v0,25.393,31.625999999999998,58.829
69,mdbr-leaf-ir,26.638,25.552999999999997,60.464
70,sentence_croissant_alpha_v0.3,28.557,22.549,60.30799999999999
71,sentence_croissant_alpha_v0.4,26.779999999999998,22.533,61.297000000000004
72,bge-large-en-v1.5,25.978,23.063,61.12
73,snowflake-arctic-embed-s,20.823,27.328000000000003,61.590999999999994
74,jina-embedding-b-en-v1,21.479,23.112,63.296
75,gte-small,24.064,24.066000000000003,61.165000000000006
76,multilingual-e5-large,26.427,20.842,62.099000000000004
77,bm25s,27.837,21.618000000000002,60.983
78,bge-small-en-v1.5,23.501,23.005,61.492999999999995
79,NoInstruct-small-Embedding-v0,24.529999999999998,28.410999999999998,58.787
80,mxbai-embed-large-v1,25.765,24.754,59.489999999999995
81,multilingual-e5-base,26.052999999999997,20.371,61.695
82,nomic-embed-text-v1,28.872999999999998,16.255,62.719
83,bge-large-en,28.53,22.147,58.641
84,speed-embedding-7b-instruct,32.964,26.41,46.022999999999996
85,bilingual-embedding-base,28.285,19.904,60.494
86,e5-base-4k,33.094,21.138,56.848
87,mdbr-leaf-mt,25.856,19.177,61.461
88,mmlw-e5-base,25.05,21.981,59.782000000000004
89,e5-large,26.907999999999998,22.899,57.894999999999996
90,snowflake-arctic-embed-m-long,28.409000000000002,21.624,58.238
91,granite-embedding-278m-multilingual,18.803,26.081,60.028999999999996
92,snowflake-arctic-embed-xs,23.656,23.363999999999997,58.855999999999995
93,UAE-Large-V1,22.682,24.455,58.913000000000004
94,e5-large-v2,31.226,17.633,59.535000000000004
95,Bulbasaur,22.593,21.429000000000002,61.244
96,sentence_croissant_alpha_v0.2,28.413,20.114,58.855999999999995
97,stella-base-en-v2,25.455,19.698,60.577000000000005
98,mmlw-e5-large,27.656999999999996,19.250999999999998,59.876
99,gte-micro-v4,22.808,21.905,60.173
100,bge-base-en,31.97,18.11,58.706
101,e5-base-v2,27.165,19.608999999999998,58.720000000000006
102,mmlw-e5-small,22.919,22.103,58.736
103,jina-embedding-s-en-v1,20.549,25.05,57.298
104,e5-small-v2,25.944,20.214,58.269000000000005
105,MedEmbed-small-v0.1,20.377000000000002,23.633000000000003,57.579
106,mmlw-roberta-large,23.794,18.016,59.687999999999995
107,all-mpnet-base-v2,22.515,21.275,58.548
108,embedder-100p,25.025,19.470000000000002,58.57
109,mmlw-roberta-base,20.791,18.814,60.019999999999996
110,slx-v0.1,19.717000000000002,20.516000000000002,59.00300000000001
111,all-MiniLM-L6-v2,19.717000000000002,20.516000000000002,59.00300000000001
112,granite-embedding-107m-multilingual,17.305,21.668000000000003,59.152
113,multi-qa-MiniLM-L6-cos-v1,21.623,21.796,55.615
114,nomic-embed-text-v1.5,17.380000000000003,19.159000000000002,60.585
115,Wartortle,20.733999999999998,22.42,54.105000000000004
116,e5-small,22.472,20.782999999999998,54.25299999999999
117,paraphrase-multilingual-mpnet-base-v2,17.455000000000002,22.236,56.799
118,sgpt-bloom-7b1-msmarco,19.368,25.926,38.586999999999996
119,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,22.957,22.48,38.256
120,multilingual-e5-small,23.430999999999997,19.011,55.764
121,arabic-english-sts-matryoshka,17.953,21.739,56.053
122,granite-embedding-30m-english,20.64,19.67,57.004999999999995
123,nomic-embed-text-v1-ablated,,18.298000000000002,63.519000000000005
124,Arabic-labse-Matryoshka,18.021,20.247,58.199999999999996
125,e5-base,23.830000000000002,17.721999999999998,54.137
126,Qwen3-Embedding-4B,,81.194,
127,Qwen3-Embedding-0.6B,,79.018,
128,all-MiniLM-L12-v2,16.797,20.714,57.426
129,llama-embed-nemotron-8b,,54.027,
130,Squirtle,20.230999999999998,21.313,49.196
131,voyage-multilingual-2,,44.997,
132,static-similarity-mrl-multilingual-v1,22.020999999999997,16.628999999999998,54.959
133,voyage-large-2-instruct,,40.747,
134,Venusaur,20.244,17.573,54.928
135,ru-en-RoSBERTa,17.625,18.85,56.286
136,Arabic-all-nli-triplet-Matryoshka,16.724,19.511,56.903000000000006
137,LaBSE-ru-turbo,19.695999999999998,15.897,57.643
138,potion-base-8M,19.323999999999998,17.404,55.33
139,embeddinggemma-300m,,37.374,
140,paraphrase-multilingual-MiniLM-L12-v2,13.658000000000001,20.525,54.966
141,text-multilingual-embedding-002,,34.902,
142,LaBSE-en-ru,22.408,15.942,52.493
143,gte-micro,20.141000000000002,16.765,53.786
144,cai-lunaris-text-embeddings,20.785,16.805999999999997,43.958000000000006
145,LaBSE,17.668,16.717000000000002,53.88699999999999
146,jina-embeddings-v2-small-en,11.274000000000001,13.024,59.132
147,Arabic-MiniLM-L12-v2-all-nli-triplet,14.618999999999998,18.375,54.059999999999995
148,STS-multilingual-mpnet-base-v2,16.99,20.007,43.913000000000004
149,potion-multilingual-128M,17.343,16.789,52.916
150,gemma-2b-embeddings,24.519,15.229999999999999,21.458
151,German_Semantic_STS_V2,17.177,17.101,52.559999999999995
152,potion-base-4M,18.212,16.518,51.662
153,udever-bloom-7b1,,23.878,29.962
154,KartonBERT-USE-base-v1,18.265,12.883,54.252
155,M2V_base_glove,19.153000000000002,13.447000000000001,51.54600000000001
156,udever-bloom-1b1,,20.961,46.197
157,st-polish-kartonberta-base-alpha-v1,16.255,12.395,54.626
158,M2V_base_glove_subword,18.482000000000003,11.927999999999999,51.136
159,bge-large-zh-v1.5,14.441,15.417,51.683
160,potion-base-2M,16.467000000000002,15.723999999999998,44.217
161,M2V_base_output,16.749,12.725,52.007999999999996
162,bge-base-zh-v1.5,12.858,16.189,48.065000000000005
163,udever-bloom-3b,,21.505,24.019
164,sbert_large_nlu_ru,12.958,19.375999999999998,15.006
165,M2V_multilingual_output,14.316999999999998,15.261,46.869
166,text2vec-base-multilingual,9.962,15.387,48.684
167,USER-base,17.257,10.272,47.352
168,bge-small-zh-v1.5,11.365,14.893999999999998,39.052
169,rubert-tiny2,16.053,13.806,34.188
170,rubert-tiny-turbo,7.432999999999999,13.624,45.443
171,rubert-tiny,11.964,12.635,38.018
172,distilrubert-small-cased-conversational,9.742,14.086000000000002,34.952
173,Arabic-mpnet-base-all-nli-triplet,15.099000000000002,10.873,28.089
174,ternary-weight-embedding,11.254,14.834,16.246
175,silma-embeddding-matryoshka-v0.1,14.111,9.343,36.578
176,rubert-base-cased-sentence,9.0,14.133999999999999,18.228
177,Arabert-all-nli-triplet-Matryoshka,5.797,12.089,30.604
178,rubert-base-cased,10.353,11.527,16.313
179,udever-bloom-560m,,15.608,19.716
180,Marbert-all-nli-triplet-Matryoshka,9.377,10.093,27.08
181,text2vec-base-chinese,5.757000000000001,9.699,36.862
182,sbert_large_mt_nlu_ru,6.5409999999999995,11.759,20.574
183,deberta-v1-base,6.612,9.707,13.980999999999998
184,jina-embeddings-v2-base-en,3.4909999999999997,10.48,1.352
